cfbref_id,pfr_id,av,predicted_av,comp_1,comp_2,comp_3
aaron-burbridge-1,BurbAa00,1,15.755459097351645,herman-moore-1,kelvin-benjamin-1,muhsin-muhammad-1
aaron-cox-1,CoxxAa00,13,13.437971145279242,everett-gay-1,quincy-morgan-1,james-jones-3
aaron-dobson-1,DobsAa00,6,14.524774943061505,golden-tate-1,andre-rison-1,chris-doering-1
ace-sanders-1,SandAc00,3,12.295743151904867,jarius-wright-1,derek-hagan-1,ron-johnson-1
adrian-arrington-1,ArriAd00,1,13.499238206504552,jeremy-maclin-1,jeff-campbell-1,charles-davenport-1
albert-connell-1,ConnAl00,23,13.902485414246506,tommy-kane-1,rishard-matthews-1,lawyer-tillman-1
aldrick-robinson-1,RobiAl00,5,14.746504470505549,golden-tate-1,aaron-dobson-1,peter-warrick-1
alex-van-dyke-1,VanDAl00,2,11.918181131937372,wesley-carroll-2,charles-e-johnson-1,kendal-smith-1
alexander-wright-1,WrigAl00,6,12.040025785991002,andre-caldwell-1,tony-jones-5,devard-darling-1
allen-robinson-1,RobiAl02,20,13.74762280481287,keary-colbert-1,chris-givens-2,reggie-wayne-1
alshon-jeffery-1,JeffAl00,32,13.830709865392885,michael-jackson-1,josh-morgan-2,robert-ferguson-1
alvin-harper-1,HarpAl00,32,11.637340475158117,corey-fuller-2,pat-newman-1,michael-jenkins-1
alvis-whitted-1,WhitAl00,3,14.520279807472326,jamison-crowder-1,larry-fitzgerald-1,chad-johnson-1
amani-toomer-1,ToomAm00,17,13.345831552243782,matt-jones-1,darnell-mcdonald-1,peerless-price-1
amara-darboh-1,DarbAm00,1,14.040039402052196,robert-woods-1,michael-timpson-1,sean-dawkins-2
amari-cooper-1,CoopAm00,33,13.865055497047729,jeremy-kerley-1,peerless-price-1,david-anderson-1
andre-caldwell-1,CaldAn00,11,13.768848566438418,sam-aiken-1,amara-darboh-1,mark-bradley-1
andre-davis-1,DaviAn01,15,12.45556429505066,alexander-wright-1,quinton-patton-1,deandre-hopkins-1
andre-hastings-1,HastAn00,16,15.121548234273282,isaac-bruce-1,courtland-sutton-1,wane-mcgarity-1
andre-johnson-1,JohnAn02,37,12.915358537305535,terrance-williams-2,marquise-goodwin-1,rico-smith-1
andre-king-1,KingAn00,2,12.892147491342154,erik-affholter-1,ryan-grant-2,jamison-crowder-1
andre-rison-1,RisoAn00,39,14.690360075166526,josh-reed-1,ernie-jones-3,courtney-taylor-1
andy-isabella-1,IsabAn00,4,13.442200806392409,golden-tate-1,aaron-dobson-1,mike-thomas-9
anquan-boldin-1,BoldAn00,36,12.785530298362998,jerry-porter-1,derrick-mason-1,michael-gallup-1
anthony-gonzalez-1,GonzAn00,16,14.223833559739326,brian-blades-1,taywan-taylor-1,jeremy-maclin-1
anthony-miller-4,MillAn00,33,14.527983390627808,albert-connell-1,nate-burleson-1,tommy-kane-1
anthony-miller-6,MillAn02,13,12.635090585096025,aundrae-allison-1,nelson-agholor-1,harry-douglas-1
anthony-morgan-2,MorgAn00,6,15.432995220959883,chansi-stuckey-1,tommy-kane-1,ed-mccaffrey-1
antonio-brown-1,BrowAn04,32,12.141479467769415,jerome-pathon-1,jaelen-strong-1,keenan-mccardell-1
antonio-bryant-1,BryaAn00,18,13.35471007331437,shaun-mcdonald-1,keyshawn-johnson-1,greg-salas-1
antonio-callaway-1,CallAn00,5,14.014082278902253,deion-branch-1,chris-givens-2,stedman-bailey-1
antonio-freeman-1,FreeAn00,41,12.089117278254381,john-burke-1,joey-clinkscales-1,keith-mumphery-1
antwaan-randle-el-1,RandAn00,29,13.718636088357806,danny-farmer-1,tommy-kane-1,lonzell-hill-1
arnaz-battle-1,BattAr00,12,13.46366387010541,dj-chark-1,brandon-stokley-1,mohamed-sanu-1
arrelious-benn-1,BennAr00,8,14.372631475446335,keary-colbert-1,reggie-wayne-1,allen-robinson-1
ashley-lelie-1,LeliAs00,32,12.640683522978799,trent-taylor-2,darius-watts-1,golden-tate-1
auden-tate-1,TateAu00,5,13.825215630438745,niles-paul-1,henry-ruggs-iii-1,jerry-porter-1
aundrae-allison-1,AlliAu00,3,12.434624405881014,stedman-bailey-1,rueben-randle-1,randal-hill-1
austin-collie-1,CollAu00,18,13.821114656152703,torrey-smith-1,davante-adams-1,drew-carter-1
austin-pettis-1,PettAu00,8,12.911706873296932,josh-boyce-1,harry-douglas-1,mario-manningham-1
az-zahir-hakim-1,HakiAz00,26,12.466487161668704,keith-poole-1,antonio-bryant-1,stedman-bailey-1
ben-obomanu-1,ObomBe00,9,13.318416980064631,derek-russell-1,greg-little-1,danny-peebles-1
bernard-berrian-1,BerrBe00,16,14.029377636225181,kevin-curtis-2,vernon-joines-1,emmanuel-sanders-1
billy-mcmullen-1,McMuBi00,4,13.696825830812461,drew-carter-1,emmanuel-sanders-1,early-doucet-1
bobby-engram-1,EngrBo00,21,13.573892151507218,quinton-patton-1,brett-perriman-1,joey-galloway-1
bobby-shaw-1,ShawBo00,23,14.581173076420566,ernest-wilford-1,torrey-smith-1,titus-young-1
bobby-wade-1,WadeBo00,8,13.706669797564466,brian-hartline-1,brandin-cooks-1,terry-glenn-1
brandin-cooks-1,CookBr00,38,12.485582988270176,chris-givens-2,chad-hansen-1,deon-cain-1
brandon-gibson-1,GibsBr00,9,12.378527029301921,ryan-yarborough-1,bobby-wade-1,brian-hartline-1
brandon-jones-3,JoneBr02,12,12.312558011420276,leonte-carroo-1,quinton-patton-1,michael-jenkins-1
brandon-lafell-1,LaFeBr00,22,13.549996158586818,danan-hughes-1,josh-malone-1,quinton-patton-1
brandon-lloyd-1,LloyBr00,15,11.957736382431065,jeff-campbell-1,charles-davenport-1,larry-parker-3
brandon-marshall-1,MarsBr00,35,12.937412168103759,reche-caldwell-1,aaron-dobson-1,odell-beckham-jr-1
brandon-stokley-1,StokBr00,8,13.419768130959996,ernie-mills-1,eddie-royal-1,greg-mcmurtry-1
braxton-miller-1,MillBr03,2,13.00259783821567,chris-penn-1,tommy-kane-1,jason-hill-1
braylon-edwards-1,EdwaBr00,29,14.563182688913821,michael-crabtree-1,justin-armour-1,roscoe-parrish-1
breshad-perriman-1,PerrBr02,11,14.233128055550512,keyshawn-johnson-1,george-thomas-2,antonio-bryant-1
brett-perriman-1,PerrBr00,17,14.164258958355557,ronald-curry-1,taywan-taylor-1,lavelle-hawkins-1
brian-blades-1,BladBr00,31,13.17317402672167,bobby-engram-1,brandon-jones-3,lake-dawson-1
brian-hartline-1,HartBr00,22,14.011853654426805,anthony-gonzalez-1,bruce-hill-2,sidney-rice-1
brian-manning-1,MannBr00,1,13.205824149298733,terry-glenn-1,larry-parker-3,bobby-wade-1
brian-robiskie-1,RobiBr00,3,13.580737341077745,amani-toomer-1,matt-jones-1,george-thomas-2
brian-stablein-1,StabBr00,6,12.947558087524529,arnaz-battle-1,dj-chark-1,chad-johnson-1
brice-hunter-1,HuntBr00,1,13.747944331763328,herman-moore-1,muhsin-muhammad-1,damian-williams-1
bruce-ellington-1,ElliBr00,7,13.228868839516949,kevin-dyson-1,tim-carter-1,chris-penn-1
bruce-hill-2,HillBr00,22,15.213769583718436,nate-burleson-1,riley-cooper-1,albert-connell-1
bryan-still-1,StilBr00,8,14.96774585902995,brian-hartline-1,peter-warrick-1,sean-lachapelle-1
bryant-johnson-1,JohnBr02,16,13.889412294016418,mike-williams-4,josh-morgan-2,charles-davenport-1
calvin-johnson-1,JohnCa00,34,14.086729209697943,chris-givens-2,laquon-treadwell-1,alshon-jeffery-1
calvin-ridley-1,RidlCa00,27,15.440370725823476,joey-galloway-1,sterling-shepard-1,andre-caldwell-1
calvin-williams-1,WillCa00,22,12.755072750808239,rob-carpenter-2,danny-farmer-1,bobby-shaw-1
carl-pickens-1,PickCa00,30,13.452789325425087,jeremy-maclin-1,charles-davenport-1,earl-bennett-1
cedrick-wilson-1,WilsCe00,12,12.497271987266181,danny-peebles-1,paul-richardson-1,marcell-ateman-1
chad-hansen-1,HansCh00,3,14.491634992207418,isaac-bruce-1,trevor-gaylor-1,andre-hastings-1
chad-jackson-1,JackCh00,2,14.32625437769045,john-hightower-1,chris-givens-2,derrick-mayes-1
chad-johnson-1,JohnCh01,36,13.352001636112565,quincy-enunwa-1,lynn-james-1,chris-godwin-1
chansi-stuckey-1,StucCh20,10,13.616455811122645,horace-copeland-1,kevin-johnson-4,vernon-joines-1
charles-davenport-1,DaveCh00,1,13.418712741821778,mohamed-sanu-1,anthony-morgan-2,lawyer-tillman-1
charles-e-johnson-1,JohnCh00,27,15.046276821312201,jeremy-maclin-1,tavon-austin-1,carl-pickens-1
charles-lee-1,LeexCh00,4,12.976210962980053,reche-caldwell-1,riley-ridley-1,kelvin-benjamin-1
charles-lockett-1,LockCh00,4,11.533205047059239,ron-johnson-1,jerome-pathon-1,tai-streets-1
charles-rogers-1,RogeCh01,4,15.017484297858916,jason-avant-1,chris-godwin-1,leonard-hankerson-1
charles-wilson-4,WilsCh00,7,14.114441862954797,jason-phillips-2,hart-lee-dykes-1,odell-beckham-jr-1
charlie-jones-4,JoneCh00,9,13.36786315441429,marcus-robinson-2,bernard-berrian-1,ryan-thelwell-1
charone-peake-1,PeakCh00,1,14.062164177069121,quincy-morgan-1,horace-copeland-1,courtney-hawkins-1
chris-calloway-1,CallCh00,12,13.120183959285583,jeff-campbell-1,carl-pickens-1,adrian-arrington-1
chris-chambers-1,ChamCh00,33,13.51339393420994,bruce-ellington-1,windrell-hayes-1,kevin-dyson-1
chris-conley-1,ConlCh00,13,14.102151563228553,devier-posey-1,ben-obomanu-1,robert-ferguson-1
chris-doering-1,DoerCh00,1,14.188684682534381,lavon-brazill-1,anquan-boldin-1,lawrence-dawsey-1
chris-givens-2,GiveCh00,13,14.395442663697343,germane-crowell-1,darrin-chiaverini-1,tony-simmons-2
chris-godwin-1,GodwCh00,28,14.34358621240859,chad-jackson-1,allen-robinson-1,greg-salas-1
chris-henry-3,HenrCh00,15,14.218297328274616,jerricho-cotchery-1,leonard-hankerson-1,charles-rogers-1
chris-moore-4,MoorCh00,4,13.87196029839991,antonio-freeman-1,rod-gardner-1,tandon-doss-1
chris-penn-1,PennCh00,10,11.709273893163356,rishard-matthews-1,eric-decker-1,pat-newman-1
chris-sanders-1,SandCh00,23,12.55745782622696,tommy-kane-1,jason-hill-1,frankie-neal-1
chris-t-jones-1,JoneCh01,10,13.693972593480767,gary-lee-3,malcolm-kelly-1,kevin-white-6
chris-walsh-1,WalsCh00,1,13.787949240859513,horace-copeland-1,chansi-stuckey-1,larry-fitzgerald-1
christian-kirk-1,KirkCh01,26,13.042045307003145,robert-meachem-1,randal-hill-1,sammie-stroughter-1
cody-core-1,CoreCo00,3,14.232757004500625,charles-e-johnson-1,tavon-austin-1,pat-coleman-1
cody-latimer-1,LatiCo00,3,14.830989433238358,greg-salas-1,keyshawn-johnson-1,george-thomas-2
collin-johnson-2,JohnCo01,3,13.759300882746725,kelvin-benjamin-1,herman-moore-1,mike-wallace-1
corey-coleman-1,ColeCo00,6,14.019093651513499,jacoby-ford-1,josh-doctson-1,ronald-curry-1
corey-davis-3,DaviCo03,21,11.61594158781192,dante-pettis-1,trey-quinn-1,jaelen-strong-1
corey-fuller-2,FullCo00,3,14.043906195892301,todd-pinkston-1,ricky-proehl-1,jajuan-dawson-1
cory-fleming-2,FlemCo20,1,16.930144609407495,alvin-harper-1,lawrence-dawsey-1,michael-jenkins-1
courtland-sutton-1,SuttCo00,21,13.678228044099525,reche-caldwell-1,jamaar-taylor-1,aaron-dobson-1
courtney-hawkins-1,HawkCo00,18,13.805563704947938,thomas-lewis-1,andre-hastings-1,pat-coleman-1
courtney-taylor-1,TaylCo00,1,13.924790039252176,robert-woods-1,keesean-johnson-1,jarvis-landry-1
craphonso-thorpe-1,ThorCr00,1,15.157380452287907,sidney-rice-1,tavon-austin-1,santana-moss-1
curtis-conway-1,ConwCu00,31,14.47585078459653,herman-moore-1,andre-hastings-1,courtney-hawkins-1
curtis-duncan-1,DuncCu00,18,13.568246403197696,charles-wilson-4,olabisi-johnson-1,steve-smith-3
curtis-marsh-2,MarsCu00,1,13.23187235811146,joe-jurevicius-1,darnay-scott-1,riley-cooper-1
curtis-samuel-1,SamuCu00,19,15.24023139803122,kenny-golladay-1,raghib-ismail-1,peerless-price-1
daesean-hamilton-1,HamiDa01,6,12.49576421887424,stephen-hill-1,jarvis-landry-1,robert-woods-1
dale-dawkins-1,DawkDa00,1,14.59918083656124,michael-jenkins-1,lavon-brazill-1,darnay-scott-1
dameane-douglas-1,DougDa00,2,12.3718765981853,mohamed-massaquoi-1,kevin-curtis-2,early-doucet-1
damian-williams-1,WillDa04,11,16.096209119597177,charles-e-johnson-1,jeremy-maclin-1,carl-pickens-1
danan-hughes-1,HughDa00,4,13.110128643950489,flipper-anderson-1,brice-hunter-1,earl-bennett-1
danny-farmer-1,FarmDa00,5,13.985763543975882,brandon-lafell-1,malcolm-seabron-1,nelson-agholor-1
danny-peebles-1,PeebDa00,2,14.98998352678642,antwaan-randle-el-1,tommy-kane-1,lonzell-hill-1
dante-pettis-1,PettDa00,7,13.431629264730907,cedrick-wilson-1,reggie-rembert-2,john-ross-1
darius-watts-1,WattDa00,4,13.216418305875896,trey-quinn-1,corey-davis-3,taylor-price-1
darnay-scott-1,ScotDa00,33,12.56672194696991,wesley-carroll-2,jaelen-strong-1,brandon-lloyd-1
darnell-mcdonald-1,McDoDa00,1,13.217320966651496,dale-dawkins-1,lavon-brazill-1,riley-cooper-1
darrell-jackson-1,JackDa00,35,14.453289657216159,david-clowney-1,george-thomas-2,roy-williams-3
darren-waller-1,WallDa01,2,13.51951041323832,robert-ferguson-1,justin-hardy-1,devante-parker-1
darrin-chiaverini-1,ChiaDa00,5,15.11064286588961,deion-branch-1,herman-moore-1,doug-gabriel-1
darrius-heyward-bey-1,HeywDa00,18,15.371196524317998,tony-simmons-2,chris-givens-2,will-blackwell-2
davante-adams-1,AdamDa01,27,13.703424197036577,michael-clayton-1,ike-hilliard-1,trey-quinn-1
david-anderson-1,AndeDa01,3,12.766028215470882,emmanuel-sanders-1,devin-smith-2,austin-collie-1
david-boston-1,BostDa00,31,16.002476362983924,mike-williams-17,amari-cooper-1,michael-clayton-1
david-clowney-1,ClowDa00,4,15.054012482610185,kelvin-martin-1,will-blackwell-2,pat-coleman-1
david-daniels-2,DaniDa00,1,14.972106942670868,derek-hagan-1,darrell-jackson-1,george-thomas-2
david-gettis-1,GettDa00,3,12.699391203104296,robert-woods-1,horace-copeland-1,willie-reid-1
david-givens-1,GiveDa00,22,15.839739976784992,herman-moore-1,reidel-anthony-1,curtis-conway-1
david-terrell-1,TerrDa00,12,15.304076672277962,syndric-steptoe-1,jeremy-maclin-1,devery-henderson-1
deandre-hopkins-1,HopkDe00,33,14.045248390875646,robert-meachem-1,isaac-byrd-1,dez-white-1
dede-westbrook-1,WestDe00,14,12.90954392831242,ronald-lewis-1,quinton-patton-1,andre-davis-1
deion-branch-1,BranDe00,27,13.756344461423863,kevin-dyson-1,rishard-matthews-1,bruce-ellington-1
demarcus-robinson-3,RobiDe01,10,14.02974498926324,keary-colbert-1,david-daniels-2,darrin-chiaverini-1
demaryius-thomas-1,ThomDe03,33,15.614292731999798,alshon-jeffery-1,bryant-johnson-1,johnnie-morton-1
demetrius-williams-1,WillDe03,9,12.415330699883457,titus-young-1,torrey-smith-1,sam-aiken-1
denarius-moore-1,MoorDe02,16,13.963418688101948,legedu-naanee-1,peter-warrick-1,craphonso-thorpe-1
dennis-northcutt-1,NortDe00,20,14.455275491153447,tyler-boyd-1,nate-lewis-1,courtney-hawkins-1
deon-butler-1,ButlDe00,4,14.109780210236323,jabar-gaffney-1,sammie-coates-1,sam-aiken-1
deon-cain-1,CainDe00,2,13.393513637455378,lavelle-hawkins-1,cody-core-1,tavon-austin-1
derek-hagan-1,HagaDe00,5,16.142009352911845,chris-godwin-1,reggie-wayne-1,sammie-stroughter-1
derek-hill-1,HillDe00,8,13.284381516801167,david-daniels-2,george-thomas-2,limas-sweed-1
derek-russell-1,RussDe00,15,14.10425135596918,adrian-arrington-1,jeff-campbell-1,devante-parker-1
derrick-alexander-1,AlexDe00,30,13.320402984331048,ben-obomanu-1,greg-little-1,cedrick-wilson-1
derrick-mason-1,MasoDe00,17,12.980176465253694,anthony-morgan-2,ed-mccaffrey-1,mohamed-sanu-1
derrick-mayes-1,MayeDe00,15,14.096694173245236,greg-little-1,anquan-boldin-1,josh-doctson-1
desean-jackson-1,JackDe00,42,14.201040973728238,keith-poole-1,donte-moncrief-1,jeremy-kerley-1
devante-parker-1,ParkDe01,16,13.269598196828891,legedu-naanee-1,ashley-lelie-1,leonard-hankerson-1
devard-darling-1,DarlDe00,2,14.033986222697354,travis-mcgriff-1,david-terrell-1,adrian-arrington-1
devery-henderson-1,HendDe00,13,13.336069077775631,terrance-williams-2,ernie-jones-3,travis-mcgriff-1
devier-posey-1,PoseDe00,2,13.769504766171483,syndric-steptoe-1,tavon-austin-1,david-terrell-1
devin-aromashodu-1,AromDe00,9,14.445448879012881,sidney-rice-1,craphonso-thorpe-1,kelvin-martin-1
devin-funchess-1,FuncDe00,21,14.518735161759574,george-thomas-2,keary-colbert-1,allen-robinson-1
devin-smith-2,SmitDe04,2,11.859187398492324,mark-bellini-1,marquise-goodwin-1,alexander-wright-1
devin-street-1,StreDe00,1,11.657941527666981,david-anderson-1,robert-woods-1,emmanuel-sanders-1
devin-thomas-1,ThomDe02,4,15.85089317899498,keyshawn-johnson-1,stedman-bailey-1,cody-latimer-1
dez-bryant-1,BryaDe01,38,15.066890555349636,laquon-treadwell-1,henry-ruggs-iii-1,isaiah-mckenzie-1
dez-white-1,WhitDe00,15,16.6780645194662,isaiah-mckenzie-1,dez-bryant-1,keyshawn-johnson-1
dezmon-briscoe-1,BrisDe00,4,13.716419709008987,deandre-hopkins-1,isaac-byrd-1,rashad-greene-1
dietrich-jells-1,JellDi00,1,13.831977421986231,marty-booker-1,torrey-smith-1,ernest-wilford-1
dj-chark-1,CharDJ00,14,15.582046463502635,donte-moncrief-1,rae-carruth-1,antonio-callaway-1
donald-hayes-1,HayeDo00,18,12.430249400130336,arnaz-battle-1,mohamed-sanu-1,larry-fitzgerald-1
donnie-avery-1,AverDo00,15,12.907780956775364,marty-booker-1,jeff-graham-2,dietrich-jells-1
donte-moncrief-1,MoncDo00,16,14.638314593670918,greg-salas-1,shaun-mcdonald-1,stedman-bailey-1
donte-stallworth-1,StalDo00,25,15.652089680889672,desean-jackson-1,john-hightower-1,chad-jackson-1
dorial-green-beckham-1,GreeDo00,7,13.380533844691406,devard-darling-1,deon-cain-1,travis-mcgriff-1
doug-gabriel-1,GabrDo00,15,12.881886310969122,lynn-james-1,chris-henry-3,quincy-enunwa-1
doug-thomas-1,ThomDo00,1,14.746630056047584,darrin-chiaverini-1,michael-thomas-3,curtis-samuel-1
drew-carter-1,CartDr00,8,14.365334688270503,reggie-brown-2,willie-jackson-3,larry-fitzgerald-1
dwayne-bates-1,BateDW00,8,12.613295244963934,billy-mcmullen-1,early-doucet-1,lawyer-tillman-1
dwayne-bowe-1,BoweDw00,32,14.455378635178166,greg-little-1,roscoe-parrish-1,charles-e-johnson-1
